cliente_id,num_visitas,comensales_promedio,gasto_total,cluster
158,18,4.055555555555555,6629.93,2
159,24,4.583333333333333,8636.38,0
160,18,5.222222222222222,5005.65,0
161,21,5.0,6730.43,0
162,20,4.6,7686.35,0
163,22,4.045454545454546,5296.14,2
164,38,4.447368421052632,14201.66,2
165,13,5.0,3898.68,0
166,22,4.136363636363637,8143.2,2
167,15,4.866666666666666,5195.58,0
